timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
67961227,0,0.0,0.0,0.0,0.0,-1.11569,0.0,0.0,0.0,0.110175,0.128335,0.314596,0.294364,0.0,0.0,0.0,2.20836,0.0,0.1,-0.314596,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68061199,0,0.0,0.0,0.0,0.0,-1.08387,0.0,0.0,0.0,0.190852,0.0902052,0.289901,0.27135,0.0,0.0,0.0,2.21855,0.0,0.1,-0.289901,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68165125,0,0.0,0.0,0.0,0.0,-1.06584,0.0,0.0,0.0,0.157541,0.124251,0.114034,0.0954644,0.0,0.0,0.0,2.24039,0.0,0.1,-0.114034,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68265151,0,0.0,0.0,0.0,0.0,-1.05648,0.0,0.0,0.0,0.0769233,0.191251,0.103711,0.0873045,0.0,0.0,0.0,2.26663,0.0,0.1,-0.103711,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68369178,0,0.0,0.0,0.0,0.0,-1.03944,0.0,0.0,0.0,0.076669,0.191853,0.173228,0.160378,0.0,0.0,0.0,2.29088,0.0,0.1,-0.173228,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68470044,0,0.0,0.0,0.0,0.0,-1.01911,0.0,0.0,0.0,0.11077,0.2022,0.191966,0.180989,0.0,0.0,0.0,2.29997,0.0,0.1,-0.191966,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68570050,0,0.0,0.0,0.0,0.0,-1.00753,0.0,0.0,0.0,0.132769,0.194501,0.0958177,0.0832956,0.0,0.0,0.0,2.28658,0.0,0.1,-0.0958177,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68669939,0,0.0,0.0,0.0,0.0,-1.00461,0.0,0.0,0.0,0.102388,0.135445,0.0525401,0.0367021,0.0,0.0,0.0,2.25746,0.0,0.1,-0.0525401,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68773955,0,0.0,0.0,0.0,0.0,-1.00698,0.0,0.0,0.0,0.0783923,0.0664375,0.074202,0.0520182,0.0,0.0,0.0,2.23568,0.0,0.1,-0.074202,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
68873945,0,0.0,0.0,0.0,0.0,-1.00101,0.0,0.0,0.0,0.0992979,0.03712,0.146324,0.122099,0.0,0.0,0.0,2.22479,0.0,0.1,-0.146324,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0
