timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
412215504,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
412710638,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
413217835,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
413712304,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
414217200,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
414721174,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
415218714,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
415713061,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
416217037,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
416723434,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
417217907,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
417726711,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
418221074,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
418727443,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
419231515,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
419724301,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
420228351,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
420733849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
421225922,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
421731435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
422237165,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
422741037,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
423234665,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
423741046,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
424246742,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
424738620,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
425243449,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
425747435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
426241874,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
426748272,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
427242649,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
427748386,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
428241870,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
428745923,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
429251435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
429745058,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
430249051,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
430754649,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
431248275,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
431752309,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
432257864,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
432751463,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
433255487,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
433763464,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
434267519,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
434761861,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
435268416,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
435761948,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
436268284,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
436772361,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
437265864,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
437771435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
438275562,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
438769145,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
439274649,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
439778622,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
440274633,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
440778734,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
441272273,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
441776365,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
442270661,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
442776273,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
443281869,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
443773849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
444279470,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
444785048,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
445277084,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
445783487,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
446277117,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
446782825,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
447277034,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
447784333,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
448277872,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
448781873,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
449287438,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
449781145,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
450285066,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
450790778,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
451296284,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
451788259,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
452294649,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
452800278,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
453293911,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
453800245,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
454304302,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
454797838,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
455304261,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
455799520,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
456295558,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
456799477,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
457304298,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
457808256,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
458301865,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
458805971,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
459311525,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
459805058,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
460309044,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
460814720,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
461308383,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
461812397,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
462305920,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
462811435,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
463317081,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
463809044,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
464317871,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
464812296,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
465316272,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
465809914,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
466315491,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
466819462,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
467313849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
467819469,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
468313122,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
468817204,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
469313849,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
469820366,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
470313888,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
470817957,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
471323541,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,3,0,0,0,0
