timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
534488344,1033.0,1,0,0,0
534916064,1034.0,1,0,0,0
535312677,1035.0,1,0,0,0
535849018,1036.0,1,0,0,0
536412007,1035.0,1,0,0,0
537055608,1036.0,1,0,0,0
537260215,1037.0,1,0,0,0
537403597,1038.0,1,0,0,0
537547019,1039.0,1,0,0,0
537669009,1040.0,1,0,0,0
537812007,1041.0,1,0,0,0
537935021,1042.0,1,0,0,0
538057079,1043.0,1,0,0,0
538200010,1044.0,1,0,0,0
538344020,1045.0,1,0,0,0
538513007,1046.0,1,0,0,0
538677032,1047.0,1,0,0,0
538843070,1048.0,1,0,0,0
539007007,1049.0,1,0,0,0
539152014,1050.0,1,0,0,0
539337041,1051.0,1,0,0,0
539521007,1052.0,1,0,0,0
539746007,1053.0,1,0,0,0
540053624,1054.0,1,0,0,0
540461382,1055.0,1,0,0,0
540858756,1056.0,1,0,0,0
541194938,1057.0,1,0,0,0
541443021,1058.0,1,0,0,0
541648047,1059.0,1,0,0,0
541750036,1009.0,1,0,0,0
541915007,1008.0,1,0,0,0
542392007,1007.0,1,0,0,0
543056013,1006.0,1,0,0,0
548843167,1007.0,1,0,0,0
549214010,1008.0,1,0,0,0
549562007,1009.0,1,0,0,0
549909019,1010.0,1,0,0,0
550261011,1011.0,1,0,0,0
550593292,1012.0,1,0,0,0
550902036,1013.0,1,0,0,0
551149007,1014.0,1,0,0,0
551376011,1015.0,1,0,0,0
551600007,1016.0,1,0,0,0
551805212,1017.0,1,0,0,0
552071069,1018.0,1,0,0,0
552383386,1019.0,1,0,0,0
552819007,1020.0,1,0,0,0
553313040,1021.0,1,0,0,0
553703007,1022.0,1,0,0,0
554092018,1023.0,1,0,0,0
554480007,1024.0,1,0,0,0
555021011,1025.0,1,0,0,0
555781062,1026.0,1,0,0,0
557911018,1025.0,1,0,0,0
558453026,1024.0,1,0,0,0
558865023,1023.0,1,0,0,0
559133019,1022.0,1,0,0,0
559407010,1021.0,1,0,0,0
559701548,1020.0,1,0,0,0
560074053,1019.0,1,0,0,0
560509010,1018.0,1,0,0,0
560798022,1017.0,1,0,0,0
561042035,1016.0,1,0,0,0
561246010,1015.0,1,0,0,0
561434748,1014.0,1,0,0,0
561665669,1013.0,1,0,0,0
561916010,1012.0,1,0,0,0
562228153,1011.0,1,0,0,0
562683573,1010.0,1,0,0,0
563177607,1009.0,1,0,0,0
563750286,1008.0,1,0,0,0
564924017,1007.0,1,0,0,0
566488007,1008.0,1,0,0,0
567127018,1009.0,1,0,0,0
567630394,1008.0,1,0,0,0
567985015,1009.0,1,0,0,0
568688007,1010.0,1,0,0,0
569365023,1011.0,1,0,0,0
569715007,1012.0,1,0,0,0
570062007,1013.0,1,0,0,0
570574312,1014.0,1,0,0,0
571161109,1015.0,1,0,0,0
571655025,1016.0,1,0,0,0
572070007,1017.0,1,0,0,0
572575530,1018.0,1,0,0,0
573766007,1019.0,1,0,0,0
575081018,1020.0,1,0,0,0
575750020,1021.0,1,0,0,0
576351064,1022.0,1,0,0,0
576624019,1023.0,1,0,0,0
576892074,1024.0,1,0,0,0
577138044,1025.0,1,0,0,0
577346018,1026.0,1,0,0,0
577510444,1027.0,1,0,0,0
577654021,1028.0,1,0,0,0
577780007,1029.0,1,0,0,0
577885568,1030.0,1,0,0,0
577969538,1031.0,1,0,0,0
578074400,1032.0,1,0,0,0
578178031,1033.0,1,0,0,0
578260335,1034.0,1,0,0,0
578343818,1035.0,1,0,0,0
578446007,1036.0,1,0,0,0
578529038,1037.0,1,0,0,0
578611252,1038.0,1,0,0,0
578715777,1039.0,1,0,0,0
578797090,1040.0,1,0,0,0
578878007,1041.0,1,0,0,0
578960007,1042.0,1,0,0,0
579022007,1043.0,1,0,0,0
579104007,1044.0,1,0,0,0
579185010,1045.0,1,0,0,0
579247007,1046.0,1,0,0,0
579328010,1047.0,1,0,0,0
579389007,1048.0,1,0,0,0
579470098,1049.0,1,0,0,0
579533012,1050.0,1,0,0,0
579617020,1051.0,1,0,0,0
579680007,1052.0,1,0,0,0
579764057,1053.0,1,0,0,0
579846347,1054.0,1,0,0,0
579929042,1055.0,1,0,0,0
580012010,1056.0,1,0,0,0
580116012,1057.0,1,0,0,0
580219007,1058.0,1,0,0,0
580345040,1059.0,1,0,0,0
580491019,1060.0,1,0,0,0
580656147,1061.0,1,0,0,0
580947054,1062.0,1,0,0,0
582148018,1061.0,1,0,0,0
582576017,1060.0,1,0,0,0
582883007,1059.0,1,0,0,0
583135007,1058.0,1,0,0,0
583387011,1057.0,1,0,0,0
583618748,1056.0,1,0,0,0
583825007,1055.0,1,0,0,0
584032007,1054.0,1,0,0,0
584240376,1053.0,1,0,0,0
584466047,1052.0,1,0,0,0
584671007,1051.0,1,0,0,0
584917007,1050.0,1,0,0,0
585163015,1049.0,1,0,0,0
585539528,1048.0,1,0,0,0
586465012,1049.0,1,0,0,0
587050440,1050.0,1,0,0,0
588550729,1049.0,1,0,0,0
588946751,1048.0,1,0,0,0
589257010,1047.0,1,0,0,0
589502032,1046.0,1,0,0,0
589727015,1045.0,1,0,0,0
589933619,1044.0,1,0,0,0
590122475,1043.0,1,0,0,0
590310007,1042.0,1,0,0,0
590521732,1041.0,1,0,0,0
590728010,1040.0,1,0,0,0
590977053,1039.0,1,0,0,0
591347007,1038.0,1,0,0,0
592339530,1039.0,1,0,0,0
592774019,1040.0,1,0,0,0
594103575,1039.0,1,0,0,0
594370019,1038.0,1,0,0,0
594596599,1037.0,1,0,0,0
594779007,1036.0,1,0,0,0
594983021,1035.0,1,0,0,0
595146067,1034.0,1,0,0,0
595332017,1033.0,1,0,0,0
595520007,1032.0,1,0,0,0
595707022,1031.0,1,0,0,0
595891582,1030.0,1,0,0,0
596078007,1029.0,1,0,0,0
596262018,1028.0,1,0,0,0
596447012,1027.0,1,0,0,0
596652051,1026.0,1,0,0,0
596841513,1025.0,1,0,0,0
597072010,1024.0,1,0,0,0
597300010,1023.0,1,0,0,0
597548181,1022.0,1,0,0,0
597793007,1021.0,1,0,0,0
598101122,1020.0,1,0,0,0
598428010,1019.0,1,0,0,0
598737007,1018.0,1,0,0,0
599030284,1017.0,1,0,0,0
599322007,1016.0,1,0,0,0
599671051,1015.0,1,0,0,0
600059058,1014.0,1,0,0,0
600521913,1013.0,1,0,0,0
600895762,1012.0,1,0,0,0
601225047,1011.0,1,0,0,0
601573026,1010.0,1,0,0,0
601921012,1009.0,1,0,0,0
602290959,1008.0,1,0,0,0
602724435,1007.0,1,0,0,0
603196017,1006.0,1,0,0,0
603844007,1005.0,1,0,0,0
604506018,1004.0,1,0,0,0
605306007,1005.0,1,0,0,0
606088007,1004.0,1,0,0,0
607771007,1003.0,1,0,0,0
607812021,1004.0,1,0,0,0
607833007,1003.0,1,0,0,0
609682012,1002.0,1,0,0,0
610955010,1001.0,1,0,0,0
611271624,1002.0,1,0,0,0
614573844,1001.0,1,0,0,0
615839007,1000.0,1,0,0,0
617544018,1001.0,1,0,0,0
619530059,1002.0,1,0,0,0
622347010,1001.0,1,0,0,0
626320054,1000.0,1,0,0,0
634812019,1001.0,1,0,0,0
635867007,1002.0,1,0,0,0
638212615,1001.0,1,0,0,0
654009572,1002.0,1,0,0,0
670294053,1001.0,1,0,0,0
