timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s
0,0.0394933,0.0248304
0,0.0517488,0.0254586
0,0.025183,0.0255426
0,0.0244291,0.0239446
0,0.038661,0.0229245
0,0.0207251,0.0251435
0,0.0378191,0.0233371
0,0.0462064,0.0259854
0,0.0246419,0.0253497
0,0.0235138,0.0259984
0,0.0198412,0.0262296
0,0.0303796,0.0247644
0,0.0406136,0.02688
0,0.0268421,0.0254216
0,0.0225167,0.0276018
0,0.0423424,0.0262555
0,0.0525061,0.0269818
0,0.0252244,0.0273383
0,0.0458632,0.0274143
0,0.0681253,0.0230277
0,0.0328338,0.027926
0,0.0307003,0.0233753
0,0.0136198,0.0252677
0,0.0211365,0.0256388
0,0.0163569,0.0266628
0,0.0303174,0.0248553
0,0.0473302,0.0260435
0,0.0309265,0.0260912
0,0.0226958,0.0255113
0,0.0245109,0.025253
0,0.0344641,0.0266022
0,0.0390059,0.0245611
0,0.0161623,0.0251012
0,0.0377325,0.0257737
0,0.0340804,0.0268602
0,0.0227262,0.0260778
0,0.052238,0.0224558
0,0.0517122,0.0236951
0,0.0309418,0.0262794
0,0.0247964,0.0253486
0,0.0372943,0.0241381
0,0.0209605,0.0254615
0,0.0242301,0.0237655
0,0.021142,0.0232488
0,0.0349471,0.0249213
0,0.0487702,0.023834
0,0.0376299,0.0247222
0,0.0323313,0.0253223
0,0.0110544,0.0235149
0,0.0299604,0.0221229
0,0.0199328,0.0246362
0,0.0116033,0.0246717
0,0.0267159,0.0251898
0,0.0335723,0.0250841
0,0.0128292,0.0258868
0,0.0258025,0.0252891
0,0.0355687,0.0230734
0,0.0400455,0.0270099
0,0.0242071,0.0262511
0,0.0569171,0.0261785
0,0.0301277,0.0252313
0,0.0475336,0.0269104
0,0.0417311,0.0263491
0,0.0258022,0.024813
0,0.0294163,0.0259149
0,0.0334112,0.0231229
0,0.0618816,0.0254806
0,0.0655672,0.0236747
0,0.0492856,0.0243045
0,0.0226115,0.024408
0,0.041128,0.0261096
0,0.0229349,0.0236804
0,0.0283177,0.0213848
0,0.0246767,0.0234978
0,0.0383754,0.0228572
0,0.068433,0.0235181
0,0.012956,0.0241593
0,0.0370846,0.0231174
0,0.0409843,0.0220603
0,0.0495153,0.0242093
0,0.0294991,0.0265394
0,0.0526842,0.0255543
0,0.0437638,0.0256877
0,0.0232444,0.0199413
0,0.0264183,0.0212874
0,0.0561321,0.0217717
0,0.0230311,0.0204633
0,0.034392,0.0219456
0,0.0600281,0.0219443
0,0.0327501,0.0237797
0,0.0526303,0.0229978
0,0.0466644,0.0218185
0,0.0404883,0.0202394
0,0.0413967,0.024333
0,0.035462,0.0236791
0,0.0240513,0.0246805
0,0.0357186,0.0231231
0,0.0300341,0.0241228
0,0.025719,0.0248958
0,0.0487518,0.0243616
0,0.0191657,0.0249418
